City List,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind
Ribeira do Pombal,67.68,-10.84,-38.54,95,88,4.76
Abbeville,50.7,50.11,1.83,87,0,4.7
Punta Arenas,41.0,-53.16,-70.91,93,90,6.93
Albany,70.52,42.65,-73.75,49,1,5.82
Bhimunipatnam,80.6,17.88,83.43,83,90,9.17
Tuktoyaktuk,55.4,69.44,-133.03,54,40,6.93
Talnakh,46.4,69.49,88.39,87,40,24.61
Cervo,49.05,-22.19,-46.24,76,0,4.18
Hilo,77.13,19.71,-155.08,88,90,9.17
Hermanus,53.01,-34.42,19.24,92,10,4.0
Atuona,80.21,-9.8,-139.03,72,5,9.8
Carnarvon,46.37,-30.97,22.13,79,0,4.74
Mahebourg,70.0,-20.41,57.7,81,19,1.01
Ndjole,73.2,-0.18,10.76,86,99,4.59
Silifke,77.22,36.38,33.93,30,0,4.09
Husavik,74.28,50.56,-96.99,73,74,8.23
Fort Nelson,62.6,58.81,-122.69,45,75,1.88
Baiyin,55.4,36.55,104.13,93,0,2.24
Kapaa,82.4,22.08,-159.32,74,75,19.46
Bredasdorp,53.6,-34.53,20.04,76,0,4.7
High Level,60.8,58.52,-117.13,38,75,9.17
Marawi,79.0,8.0,124.29,84,67,5.01
Busselton,49.55,-33.64,115.35,76,80,14.16
Hami,83.05,42.84,93.51,23,79,8.3
Khatanga,50.78,71.98,102.47,75,87,5.79
Ilulissat,53.6,69.22,-51.1,40,20,4.7
Lasa,74.32,34.92,32.53,88,0,5.82
Mantua,71.31,45.16,10.79,64,0,11.41
Ushuaia,39.2,-54.81,-68.31,93,0,5.82
Bandarbeyla,80.21,9.49,50.81,61,29,26.26
Huarmey,62.82,-10.07,-78.15,91,6,15.64
Bluff,66.62,-23.58,149.07,62,0,2.8
Sabang,81.43,13.8,121.11,74,100,3.33
Yellowknife,51.39,62.45,-114.38,66,75,17.22
Butaritari,83.97,3.07,172.79,72,60,9.55
Balabac,83.32,7.99,117.06,67,12,2.13
Bima,71.39,-8.45,118.73,85,16,3.96
Rikitea,73.1,-23.12,-134.97,84,96,5.48
Dniprovka,58.08,48.07,35.19,93,0,6.71
Portland,67.84,43.66,-70.25,49,1,8.05
Barrow,48.15,-38.31,-60.23,72,100,12.53
Praia da Vitoria,66.09,38.73,-27.07,93,20,8.16
Hailey,62.29,43.52,-114.32,55,75,8.05
Bulgan,64.56,48.81,103.53,59,61,3.29
Fairbanks,79.97,64.84,-147.72,36,90,4.7
Saint-Francois,62.35,46.42,3.91,68,0,3.36
Qaanaaq,39.45,77.48,-69.36,87,99,2.84
Upernavik,41.72,72.79,-56.15,79,76,15.66
Bayonet Point,83.61,28.33,-82.68,78,40,4.7
Beloha,60.6,-25.17,45.06,91,0,3.49
Naze,72.43,5.43,7.07,96,100,4.63
New Norfolk,50.45,-42.78,147.06,66,20,9.17
Ponta do Sol,53.33,-20.63,-46.0,74,0,3.78
Clyde River,55.92,70.47,-68.59,43,92,6.67
Balsas,73.31,-7.53,-46.04,82,73,6.91
Klaksvik,46.4,62.23,-6.59,87,0,2.24
Nikolskoye,56.55,59.7,30.79,87,90,6.71
Bambous Virieux,70.0,-20.34,57.76,81,19,3.0
Cape Town,54.97,-33.93,18.42,100,75,6.93
Grandview,83.53,38.89,-94.53,54,1,6.93
Saint George,77.36,39.45,22.34,83,0,6.93
Qena,76.88,26.16,32.72,23,0,4.81
Tasiilaq,35.6,65.61,-37.64,68,39,8.05
Portobelo,78.51,9.55,-79.65,88,75,4.7
Thompson,71.6,55.74,-97.86,64,75,8.05
East London,54.57,-33.02,27.91,63,44,6.35
Gat,77.0,14.69,-16.54,78,20,12.75
Cherskiy,74.39,68.75,161.3,35,84,10.96
La Palma,73.42,5.36,-74.39,79,58,2.68
Ponta Delgada,66.2,37.73,-25.67,77,20,4.7
Colomi,60.8,-17.34,-65.87,26,0,6.22
Margate,50.47,-43.03,147.26,66,20,9.17
Berlevag,45.68,70.86,29.09,81,96,7.31
Saskylakh,56.45,71.97,114.09,64,57,10.78
Sivaki,72.2,52.63,126.75,71,100,4.27
Fortuna,71.58,38.18,-1.13,88,0,3.36
Tabuk,71.51,17.41,121.44,70,100,2.73
Vaini,77.83,15.34,74.49,87,87,8.5
Bombay,73.76,44.94,-74.57,47,1,4.83
Hithadhoo,83.5,-0.6,73.08,79,86,14.92
Lorengau,83.16,-2.02,147.27,73,98,9.62
Constitucion,66.11,23.99,-104.67,67,90,16.11
Coos Bay,69.1,43.37,-124.22,68,1,11.41
Kalanguy,63.07,51.01,116.52,76,0,4.9
Sitka,86.0,37.17,-99.65,60,14,11.99
Tabas,89.6,33.6,56.92,19,0,6.93
Sur,84.02,22.57,59.53,53,11,3.2
Lebu,55.4,8.96,38.73,87,90,9.17
Codrington,64.85,-28.95,153.24,77,0,5.82
Tiksi,59.33,71.64,128.87,73,92,5.95
Victoria,79.86,5.28,115.24,83,75,3.36
Arraial do Cabo,55.4,-22.97,-42.02,93,0,11.61
Tres Arroyos,48.15,-38.38,-60.28,72,100,12.53
College,79.88,64.86,-147.8,36,90,4.7
Mataura,50.0,-46.19,168.86,74,100,20.0
Mildura,45.91,-34.18,142.16,100,90,4.7
Narsaq,60.8,60.91,-46.05,23,100,24.16
Geraldton,75.2,49.72,-86.95,50,75,10.29
Cidreira,50.47,-30.17,-50.22,87,0,2.86
Chokurdakh,70.97,70.62,147.9,38,49,9.37
Nanortalik,47.52,60.14,-45.24,59,100,0.18
Valdivia,48.96,-39.81,-73.25,97,100,10.27
Maniitsoq,54.72,65.42,-52.9,57,96,4.59
Kunya,73.4,12.22,8.53,88,0,3.36
Cockburn Town,82.55,21.46,-71.14,79,2,19.17
Guantanamo,65.25,-16.14,-62.05,66,19,1.23
Touros,75.2,-5.2,-35.46,88,20,5.82
Nuuk,51.4,64.17,-51.74,71,5,13.87
Richards Bay,64.87,-28.77,32.06,84,31,7.27
Hobart,50.45,-42.88,147.33,66,20,9.17
Batticaloa,76.57,7.71,81.69,85,100,2.15
Rio Gallegos,40.05,-51.62,-69.22,92,100,5.86
Provideniya,73.4,64.42,-173.23,43,0,11.18
Mayumba,72.39,-3.44,10.65,84,83,5.88
Poronaysk,49.77,49.22,143.1,90,100,8.7
Plettenberg Bay,54.25,-34.05,23.37,93,41,3.24
Emilio Carranza,83.54,19.97,-96.61,65,40,4.03
Teguise,69.8,29.06,-13.56,83,20,18.34
Leningradskiy,51.03,69.38,178.42,68,8,9.35
Port Keats,73.22,-14.25,129.55,46,40,10.98
Bumba,70.47,2.18,22.47,97,71,2.17
Martapura,74.77,-3.41,114.85,82,98,3.53
Souillac,69.46,45.6,-0.6,46,0,12.75
Shimoda,66.34,34.7,138.93,82,75,11.41
Avarua,78.8,-21.21,-159.78,74,4,5.82
Doctor Arroyo,81.21,23.67,-100.18,33,44,7.16
Arlit,89.3,18.74,7.39,39,1,13.11
Tuatapere,50.0,-46.13,167.69,74,100,20.0
Norman Wells,66.2,65.28,-126.83,37,75,12.75
Alta Floresta,71.6,-9.87,-56.08,78,0,2.93
Lumphat,75.17,13.5,106.97,95,90,1.3
Shingu,75.2,33.72,135.99,78,75,8.05
Kaitangata,51.01,-46.28,169.85,58,100,24.0
Vardo,71.42,39.62,-77.74,88,90,3.58
Palmer,52.29,-34.85,139.16,76,20,12.75
Plouzane,58.6,48.38,-4.62,82,0,8.05
